Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
2022,R1,4,13,Arkansas,Vermont,12.6,9.7,33,33,2539,2473,2262,1990,76.9,74.9,68.5,60.3,75.8,84.8,30.7,36.4,75,71,Arkansas
2022,R1,6,11,Alabama,Notre Dame,14.6,10.3,32,33,2559,2409,2445,2226,80,73,76.4,67.5,59.4,68.8,30.8,38,64,78,Notre Dame
2022,R1,3,14,Texas Tech,Montana State,13.9,12.8,34,34,2438,2617,2051,2328,71.7,77,60.3,68.5,73.5,79.4,31.4,36.9,97,62,Texas Tech
2022,R1,7,10,Michigan State,Davidson,13.1,9.8,34,33,2451,2494,2327,2170,72.1,75.6,68.4,65.8,64.7,81.8,37.8,38.6,74,73,Michigan State
2022,R1,2,15,Duke,CSU Fullerton,10.2,12.3,34,31,2726,2178,2283,2051,80.2,70.3,67.1,66.2,82.4,67.7,36.8,33,78,61,Duke
2022,R1,1,16,Baylor,Norfolk State,12.5,14,32,30,2448,2253,2036,1912,76.5,75.1,63.6,63.7,81.2,80,34.6,34.8,85,49,Baylor
2022,R1,8,9,North Carolina,Marquette,11.7,12.5,33,31,2558,2306,2367,2197,77.5,74.4,71.7,70.9,72.7,61.3,36.2,34.7,95,63,North Carolina
2022,R1,5,12,Saint Mary's ,Indiana,11.3,11.9,32,34,2232,2425,1936,2234,69.8,71.3,60.5,65.7,78.1,60.6,35,33.9,82,53,Saint Mary's
2022,R1,4,13,UCLA,Akron,9.2,11.5,32,33,2444,2349,2074,2073,76.4,71.2,64.8,62.8,78.1,72.7,35.1,35.7,57,53,UCLA
2022,R1,6,11,Texas,Virginia Tech,11.8,10.8,32,35,2187,2476,1908,2180,68.3,70.7,59.6,62.3,65.6,65.7,32.3,39.3,81,73,Texas
2022,R1,3,14,Purdue,Yale,11.7,12.9,34,30,2713,2170,2338,2065,79.8,72.3,68.8,68.8,79.4,63.3,39.1,33,78,56,Purdue
2022,R1,7,10,Murray State,San Francisco,11.4,12.9,32,33,2538,2543,1993,2212,79.3,77.1,62.3,67,93.8,72.7,35.3,35.4,92,87,Murray State
2022,R1,2,15,Kentucky,Saint Peter's,11.6,13.9,33,30,2622,2006,2178,1853,79.5,66.9,66,61.8,78.8,63.3,34.9,35.3,79,85,Saint Peter's 
