Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
2024,R1,6,11,Clemson,New Mexico,10.2,9.9,32,35,2477,2860,2282,2468,77.4,81.7,71.3,70.5,65.6,74.3,35.4,33.4,77,56,Clemson
2024,R1,3,14,Baylor,Colgate,12.1,10.6,33,34,2658,2431,2350,2150,80.5,71.5,71.2,63.2,69.7,73.5,38.8,36.1,92,67,Baylor
2024,R1,7,10,Dayton,Nevada,10.2,10,31,33,2317,2522,2055,2213,74.7,76.4,66.3,67.1,77.4,78.8,40.2,36.5,63,60,Dayton
2024,R1,2,15,Arizona,Long Beach State,12,12.6,33,35,2902,2721,2384,2650,87.9,77.7,72.2,75.7,75.8,60,37.1,30.8,85,65,Arizona
2024,R1,1,16,Houston,Longwood,8.9,12.5,34,34,2483,2569,1937,2310,73,75.6,57,67.9,88.2,61.8,34.7,34.3,86,46,Houston
2024,R1,8,9,Nebraska,Texas A&M,11.1,9.6,33,34,2560,2543,2313,2408,77.6,74.8,70.1,70.8,69.7,58.8,35.8,28.4,83,98,Texas A&M
2024,R1,5,12,Wisconsin,James Madison,9.7,10.8,35,34,2627,2868,2448,2352,75.1,84.4,69.9,69.2,62.9,91.2,34.8,36.5,61,72,James Madison
2024,R1,4,13,Duke,Vermont,9.7,9.1,32,34,2555,2459,2158,2141,79.8,72.3,67.4,63,75,82.4,37.7,34.4,64,47,Duke
2024,R1,6,11,Texas Tech,NC State,11.2,9.6,33,36,2494,2749,2288,2617,75.6,76.4,69.3,72.7,69.7,61.1,36.5,34.7,67,80,NC State
2024,R1,3,14,Kentucky,Oakland,10.7,11.2,32,34,2862,2598,2550,2479,89.4,76.4,79.7,72.9,71.9,67.6,41.2,35.1,76,80,Oakland
2024,R1,7,10,Florida,Colorado,11.8,12.7,35,35,2980,2756,2749,2473,85.1,78.7,78.5,70.7,68.6,70.6,34.2,39.4,100,102,Colorado
2024,R1,2,15,Marquette,Western Kentucky,9.9,13.7,34,33,2662,2659,2370,2444,78.3,80.6,69.7,74.1,73.5,66.7,35.8,34,87,69,Marquette
2024,R1,1,16,Purdue,Grambling,11.5,13.4,33,35,2752,2386,2313,2428,83.4,68.2,70.1,69.4,87.9,58.8,40.8,33.9,78,50,Purdue
2024,R1,8,9,Utah State,TCU,11.2,12.8,33,33,2633,2615,2319,2351,79.8,79.2,70.3,71.2,81.8,63.6,33.1,35.6,88,72,Utah State
2024,R1,5,12,Gonzaga,McNeese,9.8,9.8,32,33,2716,2654,2207,2030,84.9,80.4,69,61.5,78.1,90.9,35.4,38.8,86,65,Gonzaga
2024,R1,4,13,Kansas,Samford,11.6,13.2,32,34,2408,2923,2198,2514,75.3,86,68.7,73.9,68.8,85.3,32.9,39.3,93,89,Kansas
2024,R1,6,11,South Carolina,Oregon,10.1,10.2,33,34,2377,2561,2210,2443,72,75.3,67,71.9,78.8,67.6,33.5,33.6,73,87,Oregon
2024,R1,3,14,Creighton,Akron,10.6,11.4,32,34,2577,2517,2231,2239,80.5,74,69.7,65.9,71.9,70.6,36.1,32.8,77,60,Creighton
2024,R1,7,10,Texas,Colorado State,11.4,10.1,32,35,2449,2663,2236,2366,76.5,76.1,69.9,67.6,62.5,70.6,36.2,39.4,56,44,Texas
2024,R1,2,15,Tennessee,Saint Peter’s,10.3,12.8,32,32,2543,2091,2172,2030,79.5,65.3,67.9,63.4,75,59.4,34.2,33.2,83,49,Tennessee
2024,R2,1,9,UConn,Northwestern,9.9,8.8,35,33,2861,2435,2242,2273,81.7,73.8,64.1,68.9,91.2,65.6,36.7,39.4,75,58,UConn
2024,R2,5,13,San Diego State,Yale,11.1,9.5,35,32,2605,2418,2328,2141,74.4,75.6,66.5,66.9,70.6,71,31.3,34.7,85,57,San Diego State
2024,R2,11,3,Duquesne,Illinois,11.8,10.8,36,35,2548,2955,2378,2234,70.8,84.4,66.1,63.8,68.6,76.5,34,35,63,89,Illinois
2024,R2,7,2,Washington State,Iowa State,10.8,10.7,34,35,2518,2651,2268,2149,74.1,75.7,66.7,61.4,72.7,79.4,34,34.9,56,67,Iowa State
2024,R2,1,9,North Carolina,Michigan State,10.3,9.8,35,34,2860,2482,2450,2227,81.7,73,70,65.5,79.4,57.6,35.4,35.9,85,69,North Carolina
2024,R2,12,4,Grand Canyon,Alabama,12.3,12,34,33,2708,3013,2274,2690,79.6,91.3,66.9,81.5,87.9,65.6,34.4,36.5,61,72,Alabama
2024,R2,6,3,Clemson,Baylor,10.2,12.1,33,34,2554,2750,2338,2417,77.4,80.9,70.8,71.1,65.6,69.7,35.4,38.8,72,64,Clemson
2024,R2,7,2,Dayton,Arizona,10.2,12,32,34,2380,2987,2115,2449,74.4,87.9,66.1,72,77.4,75.8,40.2,37.1,68,78,Arizona
2024,R2,1,9,Houston,Texas A&M,8.9,9.6,35,35,2569,2641,1983,2491,73.4,75.5,56.7,71.2,88.2,58.8,34.7,28.4,100,95,Houston
2024,R2,12,4,James Madison,Duke,10.8,9.7,35,33,2940,2619,2413,2205,84,79.4,68.9,66.8,91.2,75,36.5,37.7,55,93,Duke
2024,R2,11,14,NC State,Oakland,9.6,11.2,37,35,2829,2678,2684,2555,76.5,76.5,72.5,73,61.1,67.6,34.7,35.1,79,73,NC State
2024,R2,10,2,Colorado,Marquette,12.7,9.9,36,35,2858,2749,2573,2439,79.4,78.5,71.5,69.7,70.6,73.5,39.4,35.8,77,81,Marquette
2024,R2,1,8,Purdue,Utah State,11.5,11.2,34,34,2830,2721,2363,2391,83.2,80,69.5,70.3,87.9,63.6,40.8,33.1,106,67,Purdue
2024,R2,5,4,Gonzaga,Kansas,9.8,11.6,33,33,2802,2501,2272,2287,84.9,75.8,68.8,69.3,78.1,68.8,35.4,32.9,89,68,Gonzaga
2024,R2,11,3,Oregon,Creighton,10.2,10.6,35,33,2648,2654,2516,2291,75.7,80.4,71.9,69.4,67.6,71.9,33.6,36.1,73,86,Creighton
2024,R2,7,2,Texas,Tennessee,11.4,10.3,33,33,2505,2626,2280,2221,75.9,79.6,69.1,67.3,62.5,75,36.2,34.2,58,62,Tennessee
2024,Sweet 16,1,5,UConn,San Diego State,9.9,11.1,36,36,2936,2690,2300,2385,81.6,74.7,63.9,66.3,91.2,70.6,36.7,31.3,82,52,UConn
2024,Sweet 16,3,2,Illinois,Iowa State,10.8,10.7,36,36,3044,2718,2297,2205,84.6,75.5,63.8,61.3,76.5,79.4,35,34.9,72,69,Illinois
2024,Sweet 16,1,4,North Carolina,Alabama,10.3,12,36,34,2945,3085,2519,2751,81.8,90.7,70,80.9,79.4,65.6,35.4,36.5,87,89,Alabama
2024,Sweet 16,6,2,Clemson,Arizona,10.2,12,34,35,2626,3065,2402,2517,77.2,87.6,70.6,71.9,65.6,75.8,35.4,37.1,77,72,Clemson
2024,Sweet 16,1,4,Houston,Duke,8.9,9.7,36,34,2669,2712,2078,2260,74.1,79.8,57.7,66.5,88.2,75,34.7,37.7,51,54,Duke
2024,Sweet 16,11,2,NC State,Marquette,9.6,9.9,38,36,2908,2830,2757,2516,76.5,78.6,72.6,69.9,61.1,73.5,34.7,35.8,67,58,NC State
2024,Sweet 16,1,5,Purdue,Gonzaga,11.5,9.8,35,34,2936,2891,2430,2340,83.9,85,69.4,68.8,87.9,78.1,40.8,35.4,80,68,Purdue
2024,Sweet 16,3,2,Creighton,Tennessee,10.6,10.3,34,34,2740,2688,2364,2279,80.6,79.1,69.5,67,71.9,75,36.1,34.2,75,82,Tennessee
2024,Elite 8,1,3,UConn,Illinois,9.9,10.8,37,37,3018,3116,2352,2366,81.6,84.2,63.6,63.9,91.2,76.5,36.7,35,77,52,UConn
2024,Elite 8,4,6,Alabama ,Clemson,12,10.2,35,35,3174,2703,2838,2474,90.7,77.2,81.1,70.7,65.6,65.6,36.5,35.4,89,82,Alabama
2024,Elite 8,4,11,Duke,NC State,9.7,9.6,35,39,2766,2975,2311,2815,79,76.3,66,72.2,75,61.1,37.7,34.7,64,76,NC State
2024,Elite 8,1,2,Purdue,Tennessee,11.5,10.3,36,35,3016,2770,2498,2354,83.8,79.1,69.4,67.3,87.9,75,40.8,34.2,72,66,Purdue
2024,Final 4,1,4,UConn,Alabama,9.9,12,38,36,3095,3263,2404,2920,81.4,90.6,63.3,81.1,91.2,65.6,36.7,36.5,86,72,UConn
2024,Final 4,11,1,NC State,Purdue,9.6,11.5,40,37,3051,3088,2879,2564,76.3,83.5,72,69.3,61.1,87.9,34.7,40.8,50,63,Purdue
2024,Championship,1,1,UConn,Purdue,9.9,11.5,39,38,3181,3151,2476,2614,81.6,82.9,63.5,68.8,91.2,87.9,36.7,40.8,75,60,UConn
2025,First Four,16,16,Alabama State,Saint Francis,9.1,12.9,34,33,2497,2347,2456,2363,73.4,71.1,72.2,71.6,55.9,48.5,33,33.9,70,68,Alabama State
2025,First Four,11,11,San Diego State,North Carolina,11,10.8,30,35,2124,2828,1907,2624,70.8,80.8,63.6,75,70,62.9,33.5,35.3,68,95,North Carolina
2025,First Four,16,16,American,Mount St. Mary’s,11.1,15.1,34,34,2334,2392,2287,2373,68.6,70.4,67.3,69.8,64.7,64.7,34.7,34.8,72,83,Mount St. Mary’s
2025,First Four,11,11,Texas,Xavier,9.9,11.2,34,32,2665,2497,2456,2268,78.4,78,72.2,70.9,55.9,65.6,36,38.8,80,86,Xavier
2025,R1,1,16,Auburn,Alabama State,9.2,9.1,33,35,2767,2567,2297,2532,83.8,73.3,69.6,72.3,84.8,55.9,36.8,33,83,63,Auburn
2025,R1,8,9,Louisville,Creighton,11.4,12.3,34,34,2672,2558,2343,2364,78.6,75.2,68.9,69.5,79.4,70.6,33,33.9,75,89,Creighton
2025,R1,5,12,Michigan,UC San Diego,14.1,8.7,34,34,2661,2712,2422,2095,78.3,79.8,71.2,61.6,73.5,88.2,33.4,36.6,68,65,Michigan
2025,R1,4,13,Texas A&M,Yale,12.3,10,32,29,2378,2368,2174,2022,74.3,81.7,67.9,69.7,68.8,75.9,31.1,38,80,71,Texas A&M
2025,R1,6,11,Ole Miss,North Carolina,8.9,10.8,33,36,2547,2923,2363,2692,77.2,81.2,71.6,74.8,66.7,62.9,34.1,35.3,71,64,Ole Miss
2025,R1,3,14,Iowa State,Lipscomb,11.9,9.5,33,34,2652,2697,2246,2289,80.4,79.3,68.1,67.3,72.7,73.5,35.8,35.9,82,55,Iowa State
2025,R1,7,10,Marquette,New Mexico,9.3,11.4,33,33,2537,2681,2262,2335,76.9,81.2,68.5,70.8,69.7,78.8,32.5,34.7,66,75,New Mexico
2025,R1,2,15,Michigan State,Bryant,11.5,12,33,34,2579,2800,2219,2511,78.2,82.4,67.2,73.9,81.8,67.6,30.8,33.7,87,62,Michigan State
2025,R1,1,16,Florida,Norfolk State,10.6,12.4,34,34,2904,2627,2354,2345,85.4,77.3,69.2,69,88.2,70.6,35.5,33.1,95,69,Florida
2025,R1,8,9,UConn,Oklahoma,11.2,12.1,33,33,2554,2602,2245,2470,77.4,78.8,68,74.8,69.7,60.6,35.5,37,67,59,UConn
2025,R1,5,12,Memphis,Colorado State,13.8,11.6,34,34,2725,2556,2490,2281,80.1,75.2,73.2,67.1,85.3,73.5,38,36.6,70,78,Colorado State
2025,R1,4,13,Maryland,Grand Canyon,10.3,13.2,33,33,2695,2612,2211,2281,81.7,79.2,67,69.1,75.8,78.8,37.2,31.5,81,49,Maryland
2025,R1,6,11,Missouri,Drake,10.7,11.2,33,33,2787,2313,2437,1928,84.5,70.1,73.8,58.4,66.7,88.9,37,37.2,57,67,Drake
2025,R1,3,14,Texas Tech,UNCW,10,10.9,33,34,2670,2699,2230,2377,80.9,79.4,67.6,69.9,75.8,79.4,37.9,33.9,82,72,Texas Tech
2025,R1,7,10,Kansas,Arkansas,11.7,11.7,33,33,2515,2528,2286,2348,76.2,76.6,69.3,71.2,63.6,60.6,35.2,33.3,72,79,Arkansas
2025,R1,2,15,St. John’s,Omaha,11.1,10.9,34,24,2676,2654,2240,2551,78.7,110.6,65.9,106.3,88.2,64.7,30.4,36.7,83,53,St. John’s
2025,R1,1,16,Duke,Mount St. Mary’s,9.6,15.1,34,35,2812,2475,2105,2445,82.7,70.7,61.9,69.9,91.2,64.7,37.7,34.8,93,49,Duke
2025,R1,8,9,Mississippi State,Baylor,10.6,11,33,33,2632,2523,2447,2282,79.8,76.5,74.2,69.2,63.6,57.6,31.4,35.1,72,75,Baylor
2025,R1,5,12,Oregon,Liberty,11.3,10.1,33,34,2515,2603,2341,2138,76.2,76.6,70.9,62.9,72.7,82.4,34,39,81,52,Oregon
2025,R1,4,13,Arizona,Akron,11.5,12,34,34,2779,2876,2463,2534,81.7,84.6,72.4,74.5,64.7,82.4,32.4,36.4,93,65,Arizona
2025,R1,6,11,BYU,VCU,12.1,11.3,33,34,2672,2622,2339,2121,81,77.1,70.9,62.4,72.7,82.4,37.1,33.4,80,71,BYU
2025,R1,3,14,Wisconsin,Montana,9.7,10.9,35,34,2790,2614,2465,2480,79.7,76.9,70.4,72.9,74.3,73.5,34.9,36,85,66,Wisconsin
2025,R1,7,10,Saint Mary’s,Vanderbilt,9.8,10.4,33,32,2426,2548,2002,2393,73.5,79.6,60.7,74.8,84.8,62.5,32.3,32.5,59,56,Saint Mary’s
2025,R1,2,15,Alabama,Robert Morris,12.8,13,33,34,3007,2613,2687,2395,91.1,76.9,81.4,70.4,75.8,76.5,35,35,90,81,Alabama
2025,R1,1,16,Houston,SIUE,9.3,11.4,34,33,2523,2396,1988,2182,74.2,72.6,58.5,66.1,88.2,66.7,39.8,34.1,78,40,Houston
2025,R1,8,9,Gonzaga,Georgia,9.4,12.9,33,32,2859,2418,2298,2218,86.6,75.6,69.6,69.3,75.8,62.5,34.4,33.5,89,68,Gonzaga
2025,R1,5,12,Clemson,McNeese,10.5,10.8,33,33,2519,2549,2167,2113,76.3,77.2,65.7,64,81.8,81.8,37.2,35.9,67,69,McNeese
2025,R1,4,13,Purdue,High Point,10.4,10.4,33,34,2570,2795,2346,2338,77.9,82.2,71.1,68.8,66.7,85.3,38.5,36.4,75,63,Purdue
2025,R1,6,11,Illinois,Xavier,11.5,11.2,33,33,2766,2583,2462,2348,83.8,78.3,74.6,71.2,63.6,65.6,31.2,38.8,86,73,Illinois
2025,R1,3,14,Kentucky,Troy,11.1,13.5,33,33,2815,2438,2570,2159,85.3,73.9,77.9,65.4,66.7,69.7,37.4,29.9,76,57,Kentucky
2025,R1,7,10,UCLA,Utah State,10.6,10.7,32,33,2392,2669,2103,2309,74.8,80.9,65.7,70,68.8,78.8,35.2,36.5,72,47,UCLA
2025,R1,2,15,Tennessee,Wofford,10.5,10.9,34,34,2541,2561,2143,2374,74.7,75.3,63,69.8,79.4,55.9,34,34.1,77,62,Tennessee
2025,R2,1,9,Auburn,Creighton,9.2,12.3,34,35,2850,2647,2360,2439,83.8,75.6,69.4,69.7,84.8,70.6,36.8,33.9,82,70,Auburn
2025,R2,5,4,Michigan,Texas A&M,14.1,12.3,35,33,2729,2458,2487,2245,78,74.5,71.1,68,73.5,75.9,33.4,31.1,91,79,Michigan
2025,R2,6,3,Ole Miss,Iowa State,8.9,11.9,34,34,2618,2734,2427,2301,77,80.4,71.4,67.7,66.7,72.7,34.1,35.8,91,78,Ole Miss
2025,R2,10,2,New Mexico,Michigan State,11.4,11.5,34,34,2756,2666,2401,2281,81.1,78.4,70.6,67.1,78.8,81.8,34.7,30.8,63,71,Michigan State
2025,R2,1,8,Florida,UConn,10.6,11.2,35,34,2999,2621,2423,2304,85.7,77.1,69.2,67.8,88.2,69.7,35.5,35.5,77,75,Florida
2025,R2,12,4,Colorado State,Maryland,11.6,10.3,35,34,2634,2776,2351,2260,75.3,81.6,67.2,66.5,73.5,75.8,36.6,37.2,71,72,Maryland
2025,R2,11,3,Drake,Texas Tech,11.2,10,34,34,2380,2752,1985,2302,70,80.9,58.4,67.7,88.9,75.8,37.2,37.9,64,77,Texas Tech
2025,R2,10,2,Arkansas,St. John’s,11.7,11.1,34,35,2607,2759,2420,2293,76.7,78.8,71.2,65.5,60.6,88.2,33.3,30.4,75,66,Arkansas
2025,R2,1,9,Duke,Baylor,9.6,11,35,34,2905,2598,2154,2354,83,76.4,61.5,69.2,63.6,82.4,37.7,35.1,89,66,Duke
2025,R2,5,4,Oregon,Arizona,11.3,11.5,34,35,2596,2872,2393,2528,76.4,82.1,70.4,72.2,72.7,64.7,34,32.4,83,87,Arizona
2025,R2,6,3,BYU,Wisconsin,12.1,9.7,34,36,2752,2875,2410,2531,80.9,79.9,70.9,70.3,72.7,74.3,37.1,34.9,91,89,BYU
2025,R2,7,2,Saint Mary’s,Alabama,9.8,12.8,34,34,2485,3097,2058,2778,73.1,91.1,60.5,81.7,84.8,75.8,32.3,35,66,80,Alabama
2025,R2,1,8,Houston,Gonzaga,9.3,9.4,35,34,2601,2948,2028,2366,74.3,86.7,57.9,69.6,88.2,75.8,39.8,34.4,81,76,Houston
2025,R2,12,4,McNeese,Purdue,10.8,10.4,34,34,2618,2645,2180,2409,77,77.8,64.1,70.9,81.8,66.7,35.9,38.5,62,76,Purdue
2025,R2,6,3,Illinois,Kentucky,11.5,11.1,34,34,2852,2891,2535,2627,83.9,85,74.6,77.3,63.6,66.7,31.2,37.4,75,84,Kentucky
2025,R2,7,2,UCLA,Tennessee,10.6,10.5,33,35,2464,2618,2150,2205,74.7,74.8,65.2,63,68.8,79.4,35.2,34,58,67,Tennessee
2025,Sweet 16,1,6,Auburn,Michigan,9.2,14.1,35,36,2932,2820,2430,2566,83.8,78.3,69.4,71.3,84.8,73.5,36.8,33.4,78,65,Auburn
2025,Sweet 16,5,2,Ole Miss,Michigan State,8.9,11.5,35,35,2709,2737,2505,2344,77.4,78.2,71.6,67,66.7,81.8,34.1,30.8,70,73,Michigan State
2025,Sweet 16,1,4,Florida,Maryland,10.6,10.3,36,35,3076,2848,2498,2331,85.4,81.4,69.4,66.6,88.2,75.8,35.5,37.2,87,71,Florida
2025,Sweet 16,3,10,Texas Tech,Arkansas,10,11.7,35,35,2829,2682,2366,2486,80.8,76.6,67.6,71,75.8,75.8,37.9,33.3,85,83,Texas Tech
2025,Sweet 16,1,4,Duke,Arizona,9.6,11.5,36,36,2994,2959,2220,2611,83.2,82.2,61.7,72.5,63.6,64.7,37.7,32.4,100,93,Duke
2025,Sweet 16,6,2,BYU,Alabama,12.1,12.8,35,35,2843,3177,2499,2844,81.2,90.8,71.4,81.3,72.7,75.8,37.1,35,88,113,Alabama
2025,Sweet 16,1,4,Houston,Purdue,9.3,10.4,36,35,2682,2721,2104,2484,74.5,77.7,58.4,71,88.2,66.7,39.8,38.5,62,60,Houston
2025,Sweet 16,3,2,Kentucky,Tennessee,11.1,10.5,35,36,2975,2685,2702,2263,85,74.6,77.2,62.9,66.7,79.4,37.4,34,65,78,Tennessee
2025,Elite 8,1,2,Auburn,Michigan State,9.2,11.5,36,36,3010,2810,2495,2414,83.6,78.1,69.3,67.1,84.8,81.8,36.8,30.8,70,64,Auburn
2025,Elite 8,1,3,Florida,Texas Tech,10.6,10,37,36,3163,2914,2569,2449,85.5,80.9,69.4,68,88.2,75.8,35.5,37.9,84,79,Florida
2025,Elite 8,1,2,Duke,Alabama,9.6,12.8,37,36,3094,3290,2313,2932,83.6,91.4,62.5,81.4,63.6,75.8,37.7,35,85,65,Duke
2025,Elite 8,1,2,Houston,Tennessee,9.3,10.5,37,37,2744,2763,2164,2328,74.2,74.7,58.5,62.9,88.2,79.4,39.8,34,69,50,Houston
2025,Final 4,1,1,Auburn,Florida,9.2,10.6,37,38,3080,3247,2561,2648,83.2,85.4,69.2,69.7,84.8,88.2,36.8,35.5,73,79,Florida
2025,Final 4,1,1,Duke,Houston,9.6,9.3,38,38,3179,2813,2378,2214,83.7,74,62.6,58.3,63.6,88.2,37.7,39.8,67,70,Houston
2025,Championship,1,1,Florida,Houston,10.6,9.3,39,39,3326,2883,2721,2281,85.3,73.9,69.8,58.5,88.2,88.2,35.5,39.8,65,63,Florida
