,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
49,2024,R2,5,4,Gonzaga,Kansas,84.9,75.2,69,68.7,78.1,68.8,35.4,32.9,89,68,Gonzaga
50,2024,R2,11,3,Oregon,Creighton,75.3,80.5,71.9,69.7,67.6,71.9,33.6,36.1,73,86,Creighton
51,2024,R2,7,2,Texas,Tennessee,76.5,79.5,69.9,67.9,62.5,75,36.2,34.2,58,62,Tennessee
52,2024,Sweet 16,1,5,UConn,San Diego State,81.5,74.6,64.4,66.6,91.2,70.6,36.7,31.3,82,52,UConn
53,2024,Sweet 16,3,2,Illinois,Iowa State,84.4,75.6,73.8,61.3,76.5,79.4,35,34.9,63,89,Illinois
54,2024,Sweet 16,1,4,North Carolina,Alabama,81.5,90.8,70.2,81.1,79.4,65.6,35.4,36.5,87,89,Alabama
55,2024,Sweet 16,6,2,Clemson,Arizona,77.4,87.9,71.3,72.2,65.6,75.8,35.4,37.1,77,72,Clemson
56,2024,Sweet 16,1,4,Houston,Duke,73,79.8,57,67.4,88.2,75,34.7,37.7,51,54,Duke
57,2024,Sweet 16,11,2,NC State,Marquette,76.4,78.3,72.7,69.7,61.1,73.5,34.7,35.8,67,58,NC State
58,2024,Sweet 16,1,5,Purdue,Gonzaga,83.4,84.9,70.1,69,87.9,78.1,40.8,35.4,80,68,Purdue
59,2024,Sweet 16,3,2,Creighton,Tennessee,80.5,79.5,69.7,67.9,71.9,75,36.1,34.2,75,82,Tennessee
60,2024,Elite 8,1,3,UConn,Illinois,81.5,84.4,64.4,73.8,91.2,76.5,36.7,35,77,52,UConn
61,2024,Elite 8,4,6,Alabama ,Clemson,90.8,77.4,81.1,71.3,65.6,65.6,36.5,35.4,89,82,Alabama
62,2024,Elite 8,4,11,Duke,NC State,79.8,76.4,67.4,72.7,75,61.1,37.7,34.7,64,76,NC State
63,2024,Elite 8,1,2,Purdue,Tennessee,83.4,79.5,70.1,67.9,87.9,75,40.8,34.2,72,66,Purdue
64,2024,Final 4,1,4,UConn,Alabama,81.5,90.8,64.4,81.1,91.2,65.6,36.7,36.5,86,72,UConn
65,2024,Final 4,11,1,NC State,Purdue,76.4,83.4,72.7,70.1,61.1,87.9,34.7,40.8,50,63,Purdue
66,2024,Championship,1,1,UConn,Purdue,81.5,83.4,64.4,70.1,91.2,87.9,36.7,40.8,75,60,UConn
