,Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
29,2023,R1,8,9,Arkansas,Illinois,12.9,12.8,33,32,2456,2389,2224,2143,74.4,74.7,67.4,67,60.6,62.5,31.7,30.9,73,63,Arkansas
30,2023,R1,5,12,Saint Mary’s,VCU,10.7,13.4,33,34,2355,2429,1984,2139,71.4,71.4,60.1,62.9,78.8,79.4,37.2,34.7,63,51,Saint Mary’s
31,2023,R1,4,13,UConn,Iona,12.9,10.6,33,34,2589,2595,2146,2210,78.5,76.3,65,65,75.8,79.4,35.7,36,87,63,UConn
32,2023,R1,6,11,TCU,Arizona State,12.2,11.8,33,35,2481,2489,2241,2375,75.2,71.1,67.9,67.9,63.6,64.7,30.6,31.4,72,70,TCU
33,2023,R1,3,14,Gonzaga,Grand Canyon,10.6,12.1,33,35,2888,2636,2406,2339,87.5,75.3,72.9,66.8,84.8,68.6,38.7,38.3,82,70,Gonzaga
34,2023,R1,7,10,Northwestern,Boise State,9.8,11.2,32,33,2165,2384,1999,2123,67.7,72.2,62.5,64.3,65.6,72.7,32.1,36.5,75,67,Northwestern
35,2023,R1,2,15,UCLA,UNC Asheville,10.3,14.1,34,34,2513,2551,2050,2332,73.9,75,60.3,68.6,85.3,79.4,34.7,39,86,53,UCLA
36,2023,R2,1,8,Alabama,Maryland,14.1,10.5,35,34,2890,2389,2404,2149,82.6,70.3,68.7,63.2,85.3,63.6,33.8,33,73,51,Alabama
37,2023,R2,5,13,San Diego State,Furman,11.8,11.1,34,35,2441,2859,2156,2488,71.8,81.7,63.4,71.1,81.8,79.4,35.3,34.7,75,52,San Diego State
38,2023,R2,6,3,Creighton,Baylor,11.6,12.3,34,33,2601,2543,2323,2304,76.5,77.1,68.3,69.8,63.6,68.8,36,37.2,85,76,Creighton
39,2023,R2,7,15,Missouri,Princeton,11.3,12.4,34,30,2699,2253,2526,2043,79.4,75.1,74.3,68.1,72.7,72.4,36.1,34.4,63,78,Princeton
40,2023,R2,16,9,Fairleigh Dickinson,Florida Atlantic,11.5,11.8,36,35,2793,2745,2666,2274,77.6,78.4,74.1,65,55.9,91.2,34.6,37.2,70,78,Florida Atlantic
41,2023,R2,5,4,Duke,Tennessee,12,12.1,35,34,2540,2427,2225,1970,72.6,71.4,63.6,57.9,76.5,69.7,33.6,32.9,52,65,Tennessee
42,2023,R2,6,3,Kentucky,Kansas State,11.7,14.3,33,33,2463,2493,2230,2274,74.6,75.5,67.6,68.9,65.6,71.9,35.4,34,69,75,Kansas State
43,2023,R2,7,2,Michigan State,Marquette,10.9,10.7,32,35,2249,2796,2151,2461,70.3,79.9,67.2,70.3,61.3,69.7,39.5,34.8,69,60,Michigan State
44,2023,R2,1,9,Houston,Auburn,9.9,12.5,35,33,2614,2410,1973,2221,74.7,73,56.4,67.3,91.2,62.5,34.5,31.4,81,64,Houston
45,2023,R2,5,4,Miami (FL),Indiana,11.3,11.6,33,34,2604,2547,2364,2319,78.9,74.9,71.6,68.2,78.1,66.7,36.8,37,85,69,Miami (FL)
