,Year,Round,Seed 1,Seed 2,Team 1,Team 2,TO 1,TO 2,GP 1,GP 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
147,2024,R1,8,9,Mississippi State,Michigan State,12.9,9.8,34,33,2542,2413,2348,2176,74.8,73.1,69.1,65.9,61.8,57.6,32.5,35.9,51,69,Michigan State
148,2024,R1,5,12,Saint Mary’s,Grand Canyon,10.1,12.3,33,33,2450,2633,1938,2208,74.2,79.8,58.7,66.9,78.8,87.9,35.5,34.4,66,75,Grand Canyon
149,2024,R1,4,13,Alabama,Charleston,12,9.9,32,34,2904,2736,2594,2466,90.8,80.5,81.1,72.5,65.6,79.4,36.5,34.5,109,96,Alabama
150,2024,R1,6,11,Clemson,New Mexico,10.2,9.9,32,35,2477,2860,2282,2468,77.4,81.7,71.3,70.5,65.6,74.3,35.4,33.4,77,56,Clemson
151,2024,R1,3,14,Baylor,Colgate,12.1,10.6,33,34,2658,2431,2350,2150,80.5,71.5,71.2,63.2,69.7,73.5,38.8,36.1,92,67,Baylor
152,2024,R1,7,10,Dayton,Nevada,10.2,10,31,33,2317,2522,2055,2213,74.7,76.4,66.3,67.1,77.4,78.8,40.2,36.5,63,60,Dayton
153,2024,R1,2,15,Arizona,Long Beach State,12,12.6,33,35,2902,2721,2384,2650,87.9,77.7,72.2,75.7,75.8,60,37.1,30.8,85,65,Arizona
154,2024,R1,1,16,Houston,Longwood,8.9,12.5,34,34,2483,2569,1937,2310,73,75.6,57,67.9,88.2,61.8,34.7,34.3,86,46,Houston
155,2024,R1,8,9,Nebraska,Texas A&M,11.1,9.6,33,34,2560,2543,2313,2408,77.6,74.8,70.1,70.8,69.7,58.8,35.8,28.4,83,98,Texas A&M
156,2024,R1,5,12,Wisconsin,James Madison,9.7,10.8,35,34,2627,2868,2448,2352,75.1,84.4,69.9,69.2,62.9,91.2,34.8,36.5,61,72,James Madison
157,2024,R1,4,13,Duke,Vermont,9.7,9.1,32,34,2555,2459,2158,2141,79.8,72.3,67.4,63,75,82.4,37.7,34.4,64,47,Duke
158,2024,R1,6,11,Texas Tech,NC State,11.2,9.6,33,36,2494,2749,2288,2617,75.6,76.4,69.3,72.7,69.7,61.1,36.5,34.7,67,80,NC State
159,2024,R1,3,14,Kentucky,Oakland,10.7,11.2,32,34,2862,2598,2550,2479,89.4,76.4,79.7,72.9,71.9,67.6,41.2,35.1,76,80,Oakland
160,2024,R1,7,10,Florida,Colorado,11.8,12.7,35,35,2980,2756,2749,2473,85.1,78.7,78.5,70.7,68.6,70.6,34.2,39.4,100,102,Colorado
161,2024,R1,2,15,Marquette,Western Kentucky,9.9,13.7,34,33,2662,2659,2370,2444,78.3,80.6,69.7,74.1,73.5,66.7,35.8,34,87,69,Marquette
162,2024,R1,1,16,Purdue,Grambling,11.5,13.4,33,35,2752,2386,2313,2428,83.4,68.2,70.1,69.4,87.9,58.8,40.8,33.9,78,50,Purdue
163,2024,R1,8,9,Utah State,TCU,11.2,12.8,33,33,2633,2615,2319,2351,79.8,79.2,70.3,71.2,81.8,63.6,33.1,35.6,88,72,Utah State
164,2024,R1,5,12,Gonzaga,McNeese,9.8,9.8,32,33,2716,2654,2207,2030,84.9,80.4,69,61.5,78.1,90.9,35.4,38.8,86,65,Gonzaga
165,2024,R1,4,13,Kansas,Samford,11.6,13.2,32,34,2408,2923,2198,2514,75.3,86,68.7,73.9,68.8,85.3,32.9,39.3,93,89,Kansas
166,2024,R1,6,11,South Carolina,Oregon,10.1,10.2,33,34,2377,2561,2210,2443,72,75.3,67,71.9,78.8,67.6,33.5,33.6,73,87,Oregon
167,2024,R1,3,14,Creighton,Akron,10.6,11.4,32,34,2577,2517,2231,2239,80.5,74,69.7,65.9,71.9,70.6,36.1,32.8,77,60,Creighton
168,2024,R1,7,10,Texas,Colorado State,11.4,10.1,32,35,2449,2663,2236,2366,76.5,76.1,69.9,67.6,62.5,70.6,36.2,39.4,56,44,Texas
169,2024,R1,2,15,Tennessee,Saint Peter’s,10.3,12.8,32,32,2543,2091,2172,2030,79.5,65.3,67.9,63.4,75,59.4,34.2,33.2,83,49,Tennessee
170,2024,R2,1,9,UConn,Northwestern,9.9,8.8,35,33,2861,2435,2242,2273,81.7,73.8,64.1,68.9,91.2,65.6,36.7,39.4,75,58,UConn
171,2024,R2,5,13,San Diego State,Yale,11.1,9.5,35,32,2605,2418,2328,2141,74.4,75.6,66.5,66.9,70.6,71,31.3,34.7,85,57,San Diego State
172,2024,R2,11,3,Duquesne,Illinois,11.8,10.8,36,35,2548,2955,2378,2234,70.8,84.4,66.1,63.8,68.6,76.5,34,35,63,89,Illinois
173,2024,R2,7,2,Washington State,Iowa State,10.8,10.7,34,35,2518,2651,2268,2149,74.1,75.7,66.7,61.4,72.7,79.4,34,34.9,56,67,Iowa State
174,2024,R2,1,9,North Carolina,Michigan State,10.3,9.8,35,34,2860,2482,2450,2227,81.7,73,70,65.5,79.4,57.6,35.4,35.9,85,69,North Carolina
175,2024,R2,12,4,Grand Canyon,Alabama,12.3,12,34,33,2708,3013,2274,2690,79.6,91.3,66.9,81.5,87.9,65.6,34.4,36.5,61,72,Alabama
176,2024,R2,6,3,Clemson,Baylor,10.2,12.1,33,34,2554,2750,2338,2417,77.4,80.9,70.8,71.1,65.6,69.7,35.4,38.8,72,64,Clemson
177,2024,R2,7,2,Dayton,Arizona,10.2,12,32,34,2380,2987,2115,2449,74.4,87.9,66.1,72,77.4,75.8,40.2,37.1,68,78,Arizona
178,2024,R2,1,9,Houston,Texas A&M,8.9,9.6,35,35,2569,2641,1983,2491,73.4,75.5,56.7,71.2,88.2,58.8,34.7,28.4,100,95,Houston
179,2024,R2,12,4,James Madison,Duke,10.8,9.7,35,33,2940,2619,2413,2205,84,79.4,68.9,66.8,91.2,75,36.5,37.7,55,93,Duke
180,2024,R2,11,14,NC State,Oakland,9.6,11.2,37,35,2829,2678,2684,2555,76.5,76.5,72.5,73,61.1,67.6,34.7,35.1,79,73,NC State
181,2024,R2,10,2,Colorado,Marquette,12.7,9.9,36,35,2858,2749,2573,2439,79.4,78.5,71.5,69.7,70.6,73.5,39.4,35.8,77,81,Marquette
182,2024,R2,1,8,Purdue,Utah State,11.5,11.2,34,34,2830,2721,2363,2391,83.2,80,69.5,70.3,87.9,63.6,40.8,33.1,106,67,Purdue
183,2024,R2,5,4,Gonzaga,Kansas,9.8,11.6,33,33,2802,2501,2272,2287,84.9,75.8,68.8,69.3,78.1,68.8,35.4,32.9,89,68,Gonzaga
184,2024,R2,11,3,Oregon,Creighton,10.2,10.6,35,33,2648,2654,2516,2291,75.7,80.4,71.9,69.4,67.6,71.9,33.6,36.1,73,86,Creighton
185,2024,R2,7,2,Texas,Tennessee,11.4,10.3,33,33,2505,2626,2280,2221,75.9,79.6,69.1,67.3,62.5,75,36.2,34.2,58,62,Tennessee
186,2024,Sweet 16,1,5,UConn,San Diego State,9.9,11.1,36,36,2936,2690,2300,2385,81.6,74.7,63.9,66.3,91.2,70.6,36.7,31.3,82,52,UConn
187,2024,Sweet 16,3,2,Illinois,Iowa State,10.8,10.7,36,36,3044,2718,2297,2205,84.6,75.5,63.8,61.3,76.5,79.4,35,34.9,72,69,Illinois
188,2024,Sweet 16,1,4,North Carolina,Alabama,10.3,12,36,34,2945,3085,2519,2751,81.8,90.7,70,80.9,79.4,65.6,35.4,36.5,87,89,Alabama
189,2024,Sweet 16,6,2,Clemson,Arizona,10.2,12,34,35,2626,3065,2402,2517,77.2,87.6,70.6,71.9,65.6,75.8,35.4,37.1,77,72,Clemson
190,2024,Sweet 16,1,4,Houston,Duke,8.9,9.7,36,34,2669,2712,2078,2260,74.1,79.8,57.7,66.5,88.2,75,34.7,37.7,51,54,Duke
191,2024,Sweet 16,11,2,NC State,Marquette,9.6,9.9,38,36,2908,2830,2757,2516,76.5,78.6,72.6,69.9,61.1,73.5,34.7,35.8,67,58,NC State
192,2024,Sweet 16,1,5,Purdue,Gonzaga,11.5,9.8,35,34,2936,2891,2430,2340,83.9,85,69.4,68.8,87.9,78.1,40.8,35.4,80,68,Purdue
193,2024,Sweet 16,3,2,Creighton,Tennessee,10.6,10.3,34,34,2740,2688,2364,2279,80.6,79.1,69.5,67,71.9,75,36.1,34.2,75,82,Tennessee
194,2024,Elite 8,1,3,UConn,Illinois,9.9,10.8,37,37,3018,3116,2352,2366,81.6,84.2,63.6,63.9,91.2,76.5,36.7,35,77,52,UConn
195,2024,Elite 8,4,6,Alabama ,Clemson,12,10.2,35,35,3174,2703,2838,2474,90.7,77.2,81.1,70.7,65.6,65.6,36.5,35.4,89,82,Alabama
196,2024,Elite 8,4,11,Duke,NC State,9.7,9.6,35,39,2766,2975,2311,2815,79,76.3,66,72.2,75,61.1,37.7,34.7,64,76,NC State
197,2024,Elite 8,1,2,Purdue,Tennessee,11.5,10.3,36,35,3016,2770,2498,2354,83.8,79.1,69.4,67.3,87.9,75,40.8,34.2,72,66,Purdue
198,2024,Final 4,1,4,UConn,Alabama,9.9,12,38,36,3095,3263,2404,2920,81.4,90.6,63.3,81.1,91.2,65.6,36.7,36.5,86,72,UConn
199,2024,Final 4,11,1,NC State,Purdue,9.6,11.5,40,37,3051,3088,2879,2564,76.3,83.5,72,69.3,61.1,87.9,34.7,40.8,50,63,Purdue
200,2024,Championship,1,1,UConn,Purdue,9.9,11.5,39,38,3181,3151,2476,2614,81.6,82.9,63.5,68.8,91.2,87.9,36.7,40.8,75,60,UConn
