,Year,Round,Seed 1,Seed 2,Team 1,Team 2,GP 1,GP 2,TO 1,TO 2,Points 1,Points 2,Points Allowed 1,Points Allowed 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner,Wins 1,Wins 2
44,2026,R2,,,,,,,,,,,,,,,,,,,,,,,,,
45,2026,R2,,,,,,,,,,,,,,,,,,,,,,,,,
46,2026,R2,,,,,,,,,,,,,,,,,,,,,,,,,
47,2026,R2,,,,,,,,,,,,,,,,,,,,,,,,,
48,2026,R2,,,,,,,,,,,,,,,,,,,,,,,,,
49,2026,R2,,,,,,,,,,,,,,,,,,,,,,,,,
50,2026,R2,,,,,,,,,,,,,,,,,,,,,,,,,
51,2026,R2,,,,,,,,,,,,,,,,,,,,,,,,,
52,2026,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,,,
53,2026,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,,,
54,2026,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,,,
55,2026,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,,,
56,2026,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,,,
57,2026,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,,,
58,2026,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,,,
59,2026,Sweet 16,,,,,,,,,,,,,,,,,,,,,,,,,
60,2026,Elite 8,,,,,,,,,,,,,,,,,,,,,,,,,
61,2026,Elite 8,,,,,,,,,,,,,,,,,,,,,,,,,
62,2026,Elite 8,,,,,,,,,,,,,,,,,,,,,,,,,
63,2026,Elite 8,,,,,,,,,,,,,,,,,,,,,,,,,
64,2026,Final 4,,,,,,,,,,,,,,,,,,,,,,,,,
65,2026,Final 4,,,,,,,,,,,,,,,,,,,,,,,,,
66,2026,Championship,,,,,,,,,,,,,,,,,,,,,,,,,
