,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Wins 1,Wins 2,GP 1,GP 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,Score 1,Score 2,Winner
43,2022,R2,7,15,Murray State,Saint Peter's,31,20,33,31,79.3,66.9,62.3,61.8,93.9393939393939,64.5161290322581,60,70,Saint Peter's 
44,2022,R2,1,9,Arizona,TCU,32,21,35,33,84.6,68.1,67.5,65,91.4285714285714,63.6363636363636,85,80,Arizona
45,2022,R2,5,4,Houston,Illinois,30,23,35,32,75.8,75.8,58.9,67.6,85.7142857142857,71.875,53,68,Houston
46,2022,R2,11,3,Michigan,Tennessee,18,27,32,34,73,73.2,69.9,62.8,56.25,79.4117647058824,76,68,Michigan
47,2022,R2,7,2,Ohio State,Villanova,20,27,31,34,73.8,72.6,68.5,63.1,64.5161290322581,79.4117647058824,61,71,Villanova
48,2022,R2,1,9,Kansas,Creighton,29,23,35,34,78.6,69,67.5,65.9,82.8571428571429,67.6470588235294,79,72,Kansas
49,2022,R2,12,4,Richmond,Providence,24,26,36,31,71.7,71.8,68.3,67,66.6666666666667,83.8709677419355,51,79,Providence
50,2022,R2,11,3,Iowa State,Wisconsin,21,25,33,32,66.5,70.7,63,66.5,63.6363636363636,78.125,54,49,Iowa State
51,2022,R2,10,2,Miami (FL),Auburn,24,28,34,33,74.8,78.7,71,67,70.5882352941176,84.8484848484848,79,61,Miami (FL)
52,2022,Sweet 16,1,4,Gonzaga,Arkansas,28,27,31,35,87.8,76.9,65.3,68.5,90.3225806451613,77.1428571428571,68,74,Arkansas
53,2022,Sweet 16,3,2,Texas Tech,Duke,27,30,36,36,71.7,80.2,60.3,67.1,75,83.3333333333333,73,78,Duke
54,2022,Sweet 16,8,4,North Carolina,UCLA,26,27,35,34,77.5,76.4,71.7,64.8,74.2857142857143,79.4117647058824,73,66,North Carolina
55,2022,Sweet 16,3,15,Purdue,Saint Peter's,29,21,36,32,79.8,66.9,68.8,61.8,80.5555555555556,65.625,64,67,Saint Peter’s 
56,2022,Sweet 16,1,5,Arizona,Houston,33,31,36,36,84.6,75.8,67.5,58.9,91.6666666666667,86.1111111111111,60,72,Houston
57,2022,Sweet 16,11,2,Michigan,Villanova,19,28,33,35,73,72.6,69.9,63.1,57.5757575757576,80,55,63,Villanova
58,2022,Sweet 16,1,4,Kansas,Providence,30,27,36,32,78.6,71.8,67.5,67,83.3333333333333,84.375,66,61,Kansas
59,2022,Sweet 16,11,10,Iowa State,Miami (FL),22,25,34,35,66.5,74.8,63,71,64.7058823529412,71.4285714285714,56,70,Miami (FL)
60,2022,Elite 8,4,2,Arkansas,Duke,28,31,36,37,76.9,80.2,68.5,67.1,77.7777777777778,83.7837837837838,69,78,Duke
61,2022,Elite 8,8,15,North Carolina,Saint Peter’s,27,22,36,33,77.5,66.9,71.7,61.8,75,66.6666666666667,69,49,North Carolina
62,2022,Elite 8,5,2,Houston,Villanova,32,29,37,36,75.8,72.6,58.9,63.1,86.4864864864865,80.5555555555556,44,50,Villanova
63,2022,Elite 8,1,10,Kansas,Miami (FL),31,26,37,36,78.6,74.8,69.9,71,83.7837837837838,72.2222222222222,76,50,Kansas
64,2022,Final 4,2,8,Duke,North Carolina,32,28,38,37,80.2,77.5,67.1,71.7,84.2105263157895,75.6756756756757,77,81,North Carolina
65,2022,Final 4,2,1,Villanova,Kansas,30,32,37,38,72.6,78.6,63.1,69.9,81.0810810810811,84.2105263157895,65,81,Kansas
66,2022,Championship,8,1,North Carolina,Kansas,29,33,38,39,77.5,78.6,71.7,69.9,76.3157894736842,84.6153846153846,69,72,Kansas
