,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Wins 1,Wins 2,GP 1,GP 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,Score 1,Score 2,Winner
0,2023,First Four,16,16,Texas A&M-CC,SE Missouri State,23,19,33,35,80.4,77.7,72.5,76.0,69.6969696969697,54.2857142857143,75,71,Texas A&M-CC
1,2023,First Four,11,11,Mississippi State,Pittsburgh,21,22,33,33,65.9,76.1,61.0,70.5,63.6363636363636,66.6666666666667,59,60,Pittsburgh
2,2023,First Four,16,16,Texas Southern,Fairleigh Dickinson,14,19,34,34,69.4,77.8,71.6,74.9,41.1764705882353,55.8823529411765,61,84,Fairleigh Dickinson
3,2023,First Four,11,11,Arizona State,Nevada,22,22,34,32,70.3,72.6,67.7,66.9,64.7058823529412,68.75,98,73,Arizona State
4,2023,R1,1,16,Alabama,Texas A&M-CC,29,24,34,34,82.2,80.4,68.5,72.5,85.2941176470588,70.5882352941176,,,
5,2023,R1,8,9,Maryland,West Virginia,21,19,33,33,70.4,76.3,63.2,71.0,63.6363636363636,57.5757575757576,,,
6,2023,R1,5,12,San Diego State,Charleston,27,31,33,34,72.1,80.8,63.6,67.4,81.8181818181818,91.1764705882353,,,
7,2023,R1,4,13,Virginia,Furman,25,27,32,34,67.8,82.1,60.2,71.2,78.125,79.4117647058824,,,
8,2023,R1,6,11,Creighton,NC State,21,23,33,33,76.6,78.2,68.5,70.8,63.6363636363636,69.6969696969697,,,
9,2023,R1,3,14,Baylor,UCSB,22,27,32,34,77.2,72.2,70.2,65.6,68.75,79.4117647058824,,,
10,2023,R1,7,10,Missouri,Utah State,24,26,33,34,79.5,78.6,74.6,69.7,72.7272727272727,76.4705882352941,,,
11,2023,R1,2,15,Arizona,Princeton,28,21,34,29,82.7,76,71.5,68.6,82.3529411764706,72.4137931034483,,,
12,2023,R1,1,16,Purdue,Fairleigh Dickinson,29,20,34,35,73.1,77.8,62.7,74.9,85.2941176470588,57.1428571428571,,,
13,2023,R1,8,9,Memphis,Florida Atlantic,26,31,34,34,79.8,78.8,71.9,65,76.4705882352941,91.1764705882353,,,
14,2023,R1,5,12,Duke,Oral Roberts,26,30,34,34,72.5,84.2,63.9,70.1,76.4705882352941,88.2352941176471,,,
15,2023,R1,4,13,Tennessee,Louisiana,23,26,33,33,71.8,78,58.0,69.8,69.6969696969697,78.7878787878788,,,
16,2023,R1,6,11,Kentucky,Providence,21,21,32,32,75.1,78.1,68,71.3,65.625,65.625,,,
17,2023,R1,3,14,Kansas State,Montana State,23,25,32,34,75.5,74.2,69,66.6,71.875,73.5294117647059,,,
18,2023,R1,7,10,Michigan State,USC,19,22,31,32,70.2,72.7,67.4,67.2,61.2903225806452,68.75,,,
19,2023,R1,2,15,Marquette,Vermont,28,23,34,33,79.9,73,70.6,66.6,82.3529411764706,69.6969696969697,,,
20,2023,R1,1,16,Houston,Northern Kentucky,31,22,34,34,75,68.2,56.5,63.6,91.1764705882353,64.7058823529412,,,
21,2023,R1,8,9,Iowa,Auburn,19,20,32,32,80.2,72.7,74.4,67.1,59.375,62.5,,,
22,2023,R1,5,12,Miami (FL),Drake,25,27,32,34,79.4,75.3,72.1,63.9,78.125,79.4117647058824,,,
